cu041	cu042	cu043	cu044	cu045	cu046	cu047	cu048	cu049	cu0410	cu0411	cu0412	cu0413	cu0414	cu0415	cu051	cu052	cu053	cu054	cu055	cu056	cu057	cu058	cu059	cu0510	cu0511	cu0512	cu0513	cu0514	cu0515	cu06	cu07_1	cu07_2	cu07_3	cu08	cu08a	cu09	cu09a	cu10_1	cu10_2	cu10_3	cu10_4	cu11_1	cu11_2	cu12_1	cu12_2	cu13a1	cu13a2	cu13a3	cu13a4	cu13a5	cu13a6	cu13a7	cu13a8	cu13a9	cu13a10	cu13a11	cu13a12	cu13b1	cu13b2	cu13b3	cu13b4	cu13b5	cu13b6	cu13b7	cu13b8	cu13b9	cu13b10	cu13b11	cu13b12	cu14	cuqn11	cuqn12	cuqn13	cuqn14	cuqn15	cuqn16	cuqn17	cuqn18	cuqn19	cuqn110	cuqn111	cuqn112	cuqn113	cuqn114	cuqn115	cuqn116	cuqt41	cuqt42	cuqt43	cuqt44	cuqt45	cuqt46	cuqt47	cuqt48	cuqt49	cuqt410	cuqt411	cuqt412	cuqt413	cuqt414	cuqt415	cuqt416	cut1_1	cut1_2	cut1_3	cut1_4	cut1_5	cut1_6	cut1_7	cut1_8	cut1_9	cut1_10	cut1_11	cut1_12	cut1_13	cut1_14	cut1_15	cut211	cut212	cut213	cut214	cut215	cut216	cut217	cut218	cut219	cut2110	cut2111	cut2112	cut2113	cut2114	cut2115	cut2116	cut2117	cut2118	cut2119	cut2120	cut2121	cut2122	cut2123	cut2124	cut221	cut222	cut223	cut224	cut225	cut226	cut227	cut228	cut229	cut2210	cut2211	cut2212	cut2213	cut2214	cut2215	cut2216	cut2217	cut2218	cut2219	cut2220	cut2221	cut2222	cut2223	cut2224	cut23	cut28_11	cut28_12	cut28_13	cut28_14	cut28_15	cut28_16	cut28_17	cut28_18	cut28_19	cut28_110	cut28_111	cut28_112	cut28_113	cut28_114	cut28_21	cut28_22	cut28_23	cut28_24	cut28_25	cut28_26	cut28_27	cut28_28	cut28_29	cut28_210	cut28_211	cut28_212	cut28_213	cut28_214	cut28_3	cut28_41	cut28_42	cut28_43	cut28_44	cut28_45	cut28_46	cut28_47	cut28_48	cut28_49	cut28_410	cut28_411	cut28_412	cut28_413	cut28_414	cut28_5	cut32_1	cut32_2	cut32_3	cut32_4	cut32_5	cut32_6	cut33_1	cut33_2	cut33_3	cut33_4	cut33_5	cut33_6	its	ltv	pvi	cut15	region	age3	sex	work	cie	mshop	super	wrkcie	sgrade	maritl	numhhd	numkid	numkid2	numkid31	numkid32	numkid33	numkid34	numkid35	numkid36	dura1	dura2	dura3	dura4	dura5	dura6	dura7	dura8	dura9	dura10	dura11	dura12	dura13	dura14	dura15	dura16	dura17	dura18	dura19	dura20	dura21	dura22	dura23	dura24	dura25	dura26	dura27	person1	person2	person3	person4	person5	access1	access2	access3	access4	access5	access6	access7	web1	web2	web3	web4	web5	web6	web7	web8	web9	web10	web11	web12	web13	web14	web15	web16	web17	web18	itvrcd	daily1	daily2	daily3	daily4	daily5	daily6	daily7	daily8	daily9	daily10	daily11	daily12	daily13	daily14	daily15	daily16	daily17	daily18	daily19	daily20	daily21	daily22	daily23	daily24	daily25	sunday1	sunday2	sunday3	sunday4	sunday5	sunday6	sunday7	sunday8	sunday9	sunday10	sunday11	sunday12	sunday13	sunday14	sunday15	sunday16	sunday17	sunday18	sunday19	sunday20	tenure	tennet	income	income3	dethnin	ethnic	lstage	netfq	gor	qual	dbroad	intten	cx_971_980	serial	week	wts	numage	weight0	sgrade_grp	age_grp	region2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	4	4	5	6	6	6	4	6	6	6	4	4	4	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	5	5	5	5	5	5	6	6	6	6	6	6	-1	10	9	3	-1	2	1	10	2	2	-1	1	5	4	3	11	2	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	2	16	-1	2	9	1	5	3	1	-1	-1	.26967	2958	648	.26967	24	.26967	4	2	6
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	2	2	2	2	2	2	4	2	4	3	2	3	4	4	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	3	2	2	2	1	4	4	3	3	4	4	-1	1	6	2	-1	6	1	7	1	1	-1	7	3	7	6	11	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	17	-1	1	1	4	2	3	4	-1	-1	.09219	2960	648	.09219	58	.09219	2	6	6
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	2	2	3	2	2	3	3	2	2	4	2	2	4	3	3	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	2	3	1	3	4	4	3	3	3	-1	1	1	2	-1	5	2	9	1	1	-1	9	3	6	1	-1	2	0	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	16	-1	1	1	4	1	7	5	-1	-1	1.20057	2964	648	1.20057	54	1.20057	2	5	5
0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	2	2	2	2	3	4	3	2	3	3	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	3	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	2	2	1	4	4	4	4	4	4	10	3	10	1	-1	5	1	4	2	1	-1	1	3	2	2	-1	2	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	17	-1	1	1	4	1	7	4	-1	-1	.74289	2965	648	.74289	54	.74289	2	5	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	3	3	3	3	3	2	3	3	2	2	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	2	2	2	3	2	5	3	4	3	4	4	-1	10	9	2	-1	2	2	7	2	2	-1	8	5	4	2	11	2	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	16	-1	1	1	1	1	4	3	-1	-1	.72673	2966	648	.72673	20	.72673	4	2	3
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	4	4	4	3	4	4	2	4	4	4	2	3	3	4	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	1	1	2	1	2	3	4	4	2	4	4	-1	3	2	2	-1	8	2	8	1	1	-1	8	6	6	1	-1	2	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	2	16	-1	1	1	4	10	4	7	-1	-1	2.07424	2967	648	2.07424	68	2.07424	4	7	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	2	4	4	5	2	1	1	1	1	1	2	4	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	1	1	1	1	1	5	4	3	5	4	5	-1	1	6	2	-1	7	1	2	1	2	-1	2	4	4	1	-1	2	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	17	-1	1	1	4	1	7	2	-1	-1	.56911	2970	648	.56911	62	.56911	3	6	5
0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	2	3	3	4	3	2	1	3	3	2	6	5	4	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	5	1	1	2	2	1	5	2	4	6	5	5	10	1	10	2	-1	8	2	8	2	1	-1	8	5	2	2	-1	2	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	9	4	1	1	4	9	7	2	-1	-1	1.46288	2971	648	1.46288	70	1.46288	4	7	5
0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4	3	3	4	3	3	3	2	3	3	2	3	2	2	3	3	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	1	1	1	1	3	4	4	3	3	5	-1	1	1	2	-1	3	2	1	2	1	-1	1	3	2	2	-1	2	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	12	5	1	1	2	1	1	5	-1	-1	1.1743	2973	648	1.1743	28	1.1743	2	3	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	1	1	2	5	4	1	4	1	1	4	3	4	4	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	2	1	1	2	1	1	2	4	2	-1	1	1	2	-1	8	1	8	1	1	-1	8	3	6	1	-1	2	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	2	16	-1	1	1	4	2	1	4	-1	-1	.57316	2974	648	.57316	66	.57316	2	7	4
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	2	2	3	3	3	3	1	3	3	1	3	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	1	1	1	1	1	3	2	3	2	4	3	2	1	10	1	-1	5	2	1	1	1	-1	1	4	6	1	-1	2	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	2	5	2	1	1	4	1	1	4	-1	-1	1.41245	2975	648	1.41245	51	1.41245	3	5	4
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	2	2	3	2	2	2	2	2	3	2	2	2	3	3	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	2	2	4	4	2	3	3	2	-1	1	2	1	-1	8	2	8	2	1	-1	8	4	2	2	-1	2	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	16	-1	1	1	4	1	1	7	-1	-1	1.56394	2976	648	1.56394	68	1.56394	3	7	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	4	4	4	5	5	4	5	5	5	5	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	5	5	5	3	2	5	6	6	6	6	5	10	8	10	3	-1	3	2	10	1	1	-1	10	4	1	5	3	1	0	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	7	3	1	1	3	1	7	1	-1	-1	.85276	2977	648	.85276	28	.85276	3	3	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	4	4	4	4	3	3	2	3	3	3	3	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	3	3	2	3	3	2	3	3	3	3	3	-1	1	2	3	-1	3	2	10	1	1	-1	10	6	1	5	3	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	7	3	1	1	3	1	7	1	-1	-1	1.37068	2978	648	1.37068	29	1.37068	4	3	5
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	2	1	4	4	2	4	3	3	3	3	3	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	2	3	2	2	2	4	3	3	2	3	3	10	1	10	1	-1	3	1	1	1	1	-1	1	4	4	2	11	2	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	16	-1	2	5	1	1	7	4	-1	-1	.61814	2979	648	.61814	30	.61814	3	3	5
